# control_id|owner_doc|category|risk|automation|enforcement|evidence|merge_gate
CP-07B|docs/coding_practices.md|performance|high|contextual|script:tooling/scripts/performance_check.sh;review|hot-path-spec|contextual
CP-07C|docs/coding_practices.md|performance|high|partial|script:tooling/scripts/dynamic_payload_practices_check.sh;review|typed-payload-check|yes
CP-08|docs/coding_practices.md|tooling|high|strong|script:tooling/scripts/go_fix_check.sh;script:tooling/scripts/go_static_analysis_check.sh;script:tooling/scripts/rust_static_analysis_check.sh;script:tooling/scripts/ts_static_analysis_check.sh|lint-report|yes
CP-09|docs/coding_practices.md|coding|high|partial|script:tooling/scripts/coding_practices_check.sh;review|exception-note|yes
CP-10|docs/coding_practices.md|contracts|high|strong|script:tooling/scripts/contract_drift_check.sh;review|contract-test|yes
CP-11|docs/coding_practices.md|testing|high|strong|script:tooling/scripts/testing_practices_check.sh;review|test-evidence|yes
CP-11A|docs/coding_practices.md|coding|medium|partial|script:tooling/scripts/go_static_analysis_check.sh;script:tooling/scripts/atomic_lane_purity_check.sh;review|cleanup-test|yes
CP-12|docs/coding_practices.md|docs|medium|partial|review|doc-update|contextual
CP-13|docs/coding_practices.md|frontend|medium|partial|review|component-review|yes
CP-14|docs/coding_practices.md|frontend|medium|partial|review|ui-test|contextual
CP-15|docs/coding_practices.md|frontend|low|partial|review|bundle-review|contextual
CP-16|docs/coding_practices.md|concurrency|high|partial|script:tooling/scripts/go_concurrency_practices_check.sh;review|load-or-benchmark|yes
CP-17|docs/coding_practices.md|frontend|high|partial|script:tooling/scripts/contract_drift_check.sh;review|contract-review|yes
CP-18|docs/coding_practices.md|security|critical|partial|script:tooling/scripts/project_scaffold_check.sh;review|security-test|yes
CP-19|docs/coding_practices.md|security|critical|partial|review|secret-boundary-review|yes
CP-20|docs/coding_practices.md|security|critical|partial|review|authz-test|yes
CP-21|docs/coding_practices.md|frontend|medium|partial|review|error-boundary-test|yes
CP-22|docs/coding_practices.md|operations|medium|partial|script:tooling/scripts/project_scaffold_check.sh;review|startup-check|contextual
CP-23|docs/coding_practices.md|storage|high|partial|review|storage-boundary-review|yes
CP-24|docs/coding_practices.md|workers|medium|partial|script:tooling/scripts/river_practices_check.sh;review|worker-test|yes
CP-25|docs/coding_practices.md|frontend|medium|strong|script:tooling/scripts/testing_practices_check.sh;review|dedupe-test|yes
CP-26|docs/coding_practices.md|frontend|high|partial|review|boot-smoke-test|yes
CP-27|docs/coding_practices.md|security|critical|partial|script:tooling/scripts/project_scaffold_check.sh;review|header-test|yes
CP-28|docs/coding_practices.md|supply-chain|critical|partial|script:tooling/scripts/operational_excellence_check.sh;review|dependency-review|yes
CP-29|docs/coding_practices.md|security|critical|human|review|threat-model|yes
CP-30|docs/coding_practices.md|testing|high|partial|script:tooling/scripts/testing_practices_check.sh;review|coverage-hotspot-report|yes
CP-31|docs/coding_practices.md|frontend|medium|partial|script:tooling/scripts/coding_practices_check.sh;review|observer-exception|yes
CP-32|docs/coding_practices.md|runtime|high|partial|script:tooling/scripts/server_kit_usage_check.sh;script:tooling/scripts/contract_drift_check.sh|transport-test|yes
CP-33|docs/coding_practices.md|security|high|partial|review|crypto-agility-review|yes
CP-34|docs/coding_practices.md|operations|high|partial|script:tooling/scripts/performance_check.sh;review|slo-or-chaos-evidence|yes
CP-35|docs/coding_practices.md|workers|high|partial|script:tooling/scripts/river_practices_check.sh;review|job-reliability-test|yes
CP-36|docs/coding_practices.md|agent|high|partial|script:tooling/scripts/agent_contract_check.sh;review|evidence-ledger|yes
TE-01|docs/testing_practices.md|testing|high|partial|script:tooling/scripts/testing_practices_check.sh;review|architecture-test|yes
TE-02|docs/testing_practices.md|testing|medium|human|review|black-box-case|contextual
TE-03|docs/testing_practices.md|testing|high|human|review|oracle-statement|yes
TE-04|docs/testing_practices.md|testing|medium|human|review|case-table|contextual
TE-05|docs/testing_practices.md|testing|medium|human|review|interaction-matrix|contextual
TE-06|docs/testing_practices.md|testing|high|strong|script:tooling/scripts/testing_practices_check.sh;script:tooling/scripts/coverage_ratchet_check.sh;review|coverage-floor-ratchet|yes
TE-07|docs/testing_practices.md|testing|high|partial|script:tooling/scripts/testing_practices_check.sh;review|retry-boundary-test|yes
TE-08|docs/testing_practices.md|contracts|high|partial|script:tooling/scripts/contract_drift_check.sh;review|correlation-idempotency-test|yes
TE-09|docs/testing_practices.md|security|critical|human|review|tenant-negative-test|yes
TE-10|docs/testing_practices.md|contracts|high|strong|script:tooling/scripts/contract_drift_check.sh;review|lifecycle-test|yes
TE-11|docs/testing_practices.md|runtime|high|partial|script:tooling/scripts/contract_drift_check.sh;review|lane-parity-test|yes
TE-12|docs/testing_practices.md|database|high|partial|script:tooling/scripts/database_practices_check.sh;review|constraint-test|yes
TE-13|docs/testing_practices.md|redis|high|partial|script:tooling/scripts/redis_practices_check.sh;review|cache-truth-test|yes
TE-14|docs/testing_practices.md|workers|high|partial|script:tooling/scripts/river_practices_check.sh;review|idempotency-test|yes
TE-15|docs/testing_practices.md|frontend|medium|partial|script:tooling/scripts/testing_practices_check.sh;review|user-visible-test|yes
TE-16|docs/testing_practices.md|runtime|high|partial|script:tooling/scripts/rust_runtime_practices_check.sh;review|host-guest-test|yes
TE-17|docs/testing_practices.md|concurrency|high|partial|script:tooling/scripts/go_concurrency_practices_check.sh;review|termination-test|yes
TE-18|docs/testing_practices.md|performance|high|partial|script:tooling/scripts/performance_check.sh;review|benchmark-artifact|contextual
TE-19|docs/testing_practices.md|security|critical|human|review|trust-boundary-test|yes
TE-20|docs/testing_practices.md|testing|high|human|review|regression-test|yes
TE-21|docs/testing_practices.md|testing|high|partial|script:tooling/scripts/project_scaffold_check.sh;review|environment-isolation|yes
TE-22|docs/testing_practices.md|testing|medium|human|review|fake-contract-proof|contextual
TE-23|docs/testing_practices.md|testing|medium|human|review|test-data-review|contextual
TE-24|docs/testing_practices.md|testing|high|strong|script:tooling/scripts/testing_practices_check.sh|skip/focus-check|yes
TE-25|docs/testing_practices.md|contracts|high|strong|script:tooling/scripts/contract_drift_check.sh|drift-check|yes
TE-26|docs/testing_practices.md|docs|low|human|review|risk-note|contextual
TE-27|docs/testing_practices.md|testing|high|partial|script:tooling/scripts/testing_practices_check.sh;review|determinism-check|yes
TE-28|docs/testing_practices.md|testing|medium|human|review|acceptance-journey|contextual
TE-29|docs/testing_practices.md|formal|high|human|review|model-test|yes
TE-30|docs/testing_practices.md|testing|high|human|review|fault-test|yes
TE-31|docs/testing_practices.md|testing|high|human|review|property-test|yes
TE-32|docs/testing_practices.md|testing|medium|partial|script:tooling/scripts/testing_practices_check.sh;review|acceptance-mutation|contextual
TE-33|docs/testing_practices.md|testing|medium|human|review|speed-tier-plan|contextual
TE-34|docs/testing_practices.md|testing|medium|human|review|diagnostic-artifact|contextual
TE-35|docs/testing_practices.md|tooling|high|partial|script:tooling/scripts/testing_practices_check.sh;review|local-replay-command|yes
TE-36|docs/testing_practices.md|tooling|high|strong|script:tooling/scripts/testing_practices_check.sh|practice-check|yes
TE-37|docs/testing_practices.md|docs|medium|human|review|doc-update|contextual
TE-38|docs/testing_practices.md|performance|high|contextual|script:tooling/scripts/performance_check.sh;review|service-backed-test|contextual
TE-39|docs/testing_practices.md|scaffold|medium|partial|script:tooling/scripts/project_scaffold_check.sh;review|scaffold-smoke|yes
TE-40|docs/testing_practices.md|performance|high|partial|script:tooling/scripts/testing_practices_check.sh;script:tooling/scripts/benchmark_history.sh|variance-ledger|yes
TE-41|docs/testing_practices.md|agent|high|partial|script:tooling/scripts/agent_contract_check.sh;review|oracle-strength-note|yes
TE-42|docs/testing_practices.md|testing|medium|human|review|mirror-layout-precedent|yes
MATH-01|docs/mathematical_practices.md|formal|high|human|review|mathematical-practices-checklist|yes
